employee_id,first_name,last_name,email,gender,part_time_job,1/7/2025,2/7/2025,3/7/2025,4/7/2025,5/7/2025,6/7/2025,7/7/2025,8/7/2025,9/7/2025,10/7/2025,11/7/2025,12/7/2025,13/7/2025,14/7/2025,15/7/2025,16/7/2025,17/7/2025,18/7/2025,19/7/2025,20/7/2025,21/7/2025,22/7/2025,23/7/2025,24/7/2025,25/7/2025,26/7/2025,27/7/2025,28/7/2025,29/7/2025,30/7/2025,31/7/2025
1,Paul,Casey,paul.casey.1@gslingacademy.com,male,FALSE,Present,Present,Absent,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present
2,Danielle,Sandoval,danielle.sandoval.2@gslingacademy.com,female,FALSE,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present
3,Tina,Andrews,tina.andrews.3@gslingacademy.com,female,FALSE,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
4,Tara,Clark,tara.clark.4@gslingacademy.com,female,FALSE,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
5,Anthony,Campos,anthony.campos.5@gslingacademy.com,male,FALSE,Present,Present,Absent,Present,Present,Present,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present
6,Kelly,Wade,kelly.wade.6@gslingacademy.com,female,FALSE,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
7,Anthony,Smith,anthony.smith.7@gslingacademy.com,male,FALSE,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
8,George,Short,george.short.8@gslingacademy.com,male,TRUE,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
9,Stanley,Gutierrez,stanley.gutierrez.9@gslingacademy.com,male,FALSE,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
10,Audrey,Simpson,audrey.simpson.10@gslingacademy.com,female,FALSE,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Present
